2025.07.14 02:15:39 INFO  no build target found for /home/emma/yjgbg.github.io/.gitlab-ci.sc. Using presentation compiler with project's scala-library version: 3.3.6[0m
2025.07.14 02:15:41 INFO  Running List(/home/emma/.local/share/coursier/bin/scala-cli, setup-ide, /home/emma/yjgbg.github.io)[0m
2025.07.14 02:15:41 INFO  Attempting to connect to the build server...[0m
2025.07.14 02:15:41 INFO  Running BSP server List(/home/emma/.local/share/coursier/bin/.scala-cli.aux, bsp, --json-options, /home/emma/yjgbg.github.io/.scala-build/ide-options-v2.json, --json-launcher-options, /home/emma/yjgbg.github.io/.scala-build/ide-launcher-options.json, --envs-file, /home/emma/yjgbg.github.io/.scala-build/ide-envs.json, /home/emma/yjgbg.github.io)[0m
2025.07.14 02:15:41 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/emma/yjgbg.github.io/.metals/bsp.trace.json or /home/emma/.cache/metals/bsp.trace.json[0m
2025.07.14 02:15:41 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom[0m
2025.07.14 02:15:43 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom[0m
2025.07.14 02:15:43 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom.sha1[0m
2025.07.14 02:15:43 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom.sha1[0m
2025.07.14 02:15:43 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom[0m
2025.07.14 02:15:44 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.10/bloop-frontend_2.12-2.0.10.pom[0m
